data_obito
ano_obito
data_nasc
idade_obito_calculado
ano_nasc
idade_obito_anos
res_latitude
res_longitude
res_altitude
res_area
ocor_area
idade_obito
dia_semana_obito_dom
dia_semana_obito_qua
dia_semana_obito_qui
dia_semana_obito_sab
dia_semana_obito_seg
dia_semana_obito_sex
dia_semana_obito_ter
dia_semana_nasc_dom
dia_semana_nasc_qua
dia_semana_nasc_qui
dia_semana_nasc_sab
dia_semana_nasc_seg
dia_semana_nasc_sex
dia_semana_nasc_ter
def_sexo_feminino
def_sexo_ignorado
def_sexo_masculino
def_raca_cor_amarela
def_raca_cor_branca
def_raca_cor_ignorado
def_raca_cor_indígena
def_raca_cor_parda
def_raca_cor_preta
def_est_civil_casado
def_est_civil_ignorado
def_est_civil_separado_judic./divorciado
def_est_civil_solteiro
def_est_civil_viúvo
def_escol_1_a_3_anos
def_escol_12_e_mais
def_escol_4_a_7_anos
def_escol_8_a_11_anos
def_escol_ignorado
def_escol_nenhuma
def_loc_ocor_domicílio
def_loc_ocor_hospital
def_loc_ocor_ignorado
def_loc_ocor_outro_estab._saúde
def_loc_ocor_outros
def_loc_ocor_via_pública
def_assist_med_com_assistência
def_assist_med_ignorado
def_assist_med_sem_assistência
def_exame_ignorado
def_exame_não
def_exame_sim
def_cirurgia_ignorado
def_cirurgia_não
def_cirurgia_sim
def_necropsia_ignorado
def_necropsia_não
def_necropsia_sim
res_capital_n
res_capital_s
res_msaudcod_3500
res_msaudcod_3590
res_rsaudcod_3500
res_rsaudcod_3501
res_rsaudcod_3502
res_rsaudcod_3503
res_rsaudcod_3504
res_rsaudcod_3505
res_rsaudcod_3506
res_rsaudcod_3507
res_rsaudcod_3508
res_rsaudcod_3509
res_rsaudcod_3510
res_rsaudcod_3511
res_rsaudcod_3512
res_rsaudcod_3513
res_rsaudcod_3514
res_rsaudcod_3515
res_rsaudcod_3516
res_rsaudcod_3517
res_rsaudcod_3518
res_rsaudcod_3519
res_rsaudcod_3520
res_rsaudcod_3521
res_rsaudcod_3522
res_rsaudcod_3523
res_rsaudcod_3524
res_csaudcod_35000
res_csaudcod_35900
grande_grupo_ocup_forças_armadas_policiais_e_bombeiros_militares
grande_grupo_ocup_membros_superiores_do_poder_público_dirigentes_de_organizações_de_interesse_público_e_de_empresas_e_gerentes
grande_grupo_ocup_profissionais_das_ciências_e_das_artes
grande_grupo_ocup_trabalhadores_agropecuários_florestais_da_caça_e_pesca
grande_grupo_ocup_trabalhadores_da_produção_de_bens_e_serviços_industriais
grande_grupo_ocup_trabalhadores_de_manutenção_e_reparação
grande_grupo_ocup_trabalhadores_de_serviços_administrativos
grande_grupo_ocup_trabalhadores_dos_serviços_vendedores_do_comércio_em_lojas_e_mercados
grande_grupo_ocup_técnicos_de_nível_médio
nivel_comp_ocup_nivel2
nivel_comp_ocup_nivel3
nivel_comp_ocup_nivel4
nivel_comp_ocup_não_definido
