,CODMUNRES
351680,675
352560,673
351590,669
352830,667
352080,665
353830,665
352115,665
353170,660
350995,659
350240,658
355460,654
354620,653
351685,643
354025,628
354450,617
351610,613
350500,611
351270,610
355255,605
353325,601
353090,598
354310,597
352870,593
353380,591
352200,590
350090,589
354740,585
354900,580
351492,579
352265,576
354710,572
350150,570
353205,568
354550,559
351010,550
353000,550
353970,544
354830,542
354030,533
353450,531
352790,531
352540,529
353690,528
353310,523
353330,522
355465,519
351512,516
355130,516
355365,509
351650,506
354920,500
350715,498
354165,497
351420,496
352750,496
351495,489
351090,479
350315,478
353320,476
352725,476
354930,475
353284,468
351580,465
354180,464
354610,460
353715,457
351800,446
354323,446
353625,445
351330,436
355530,436
350775,433
352885,431
351530,428
353100,424
350620,422
354440,422
355520,415
354470,415
352910,414
355715,402
353215,400
354720,382
354085,379
352965,374
350745,371
350335,362
350470,352
352585,344
350395,338
351385,336
355695,322
353657,316
355590,306
354625,302
354925,290
355570,288
351565,283
354765,280
355475,222
353286,175
350720,137
358058,16
358028,1
358037,1
358038,1
358031,1
358039,1
358027,1
358018,1
358049,1
358007,1
358047,1
