iter	Passed	Remaining
399	67262	100893
400	67425	100717
401	67619	100588
402	67830	100483
403	68004	100322
404	68132	100096
405	68280	99897
406	68472	99764
407	68565	99486
408	68758	99355
409	68951	99223
410	69116	99049
411	69301	98906
412	69496	98775
413	69692	98646
414	69893	98524
415	70070	98368
416	70428	98464
417	70609	98312
418	70795	98166
419	70975	98014
420	71191	97909
421	71368	97751
422	71694	97795
423	71831	97582
424	72031	97454
425	72271	97379
426	72611	97438
427	72741	97215
428	72922	97060
429	73059	96846
430	73318	96794
431	73402	96510
432	73605	96384
433	73815	96266
434	74140	96297
435	74299	96111
436	74491	95970
437	74720	95874
438	74893	95706
439	75177	95680
440	75250	95386
441	75398	95186
442	75597	95051
443	75766	94878
444	76101	94913
445	76234	94694
446	76443	94570
447	76603	94386
448	76754	94190
449	76905	93995
450	77108	93864
451	77274	93686
452	77460	93534
453	77646	93381
454	77847	93245
455	78146	93227
456	78353	93098
457	78528	92931
458	78692	92750
459	78869	92585
460	79005	92372
461	79235	92270
462	79372	92058
463	79568	91915
464	79752	91758
465	79950	91616
466	80127	91452
467	80306	91288
468	80426	91059
469	80579	90866
470	80757	90702
471	80890	90487
472	81084	90341
473	81313	90233
474	81388	89956
475	81549	89772
476	81675	89552
477	81950	89493
478	82136	89337
479	82339	89200
480	82484	89000
481	82674	88849
482	82775	88602
483	82970	88456
484	83166	88311
485	83342	88143
486	83491	87948
487	83710	87827
488	83861	87634
489	84066	87497
490	84249	87337
491	84432	87178
492	84603	87006
493	84787	86847
494	84891	86606
495	85102	86475
496	85211	86239
497	85411	86097
498	85703	86047
499	85775	85775
500	85946	85603
501	86135	85449
502	86320	85291
503	86443	85071
504	86518	84805
505	86910	84849
506	87070	84665
507	87255	84507
508	87442	84350
509	87690	84251
510	87766	83988
511	87970	83846
512	88053	83590
513	88275	83466
514	88347	83201
515	88467	82981
516	88635	82806
517	88802	82630
518	88959	82446
519	89157	82298
520	89346	82144
521	89434	81896
522	89580	81701
523	89767	81544
524	89967	81399
525	90036	81135
526	90252	81004
527	90575	80968
528	90710	80764
529	90851	80566
530	91037	80407
531	91209	80236
532	91387	80071
533	91480	79831
534	91672	79677
535	91888	79545
536	92046	79362
537	92212	79186
538	92460	79080
539	92593	78875
540	92775	78713
541	92956	78549
542	93152	78398
543	93350	78249
544	93483	78045
545	93628	77852
546	93790	77672
547	93983	77519
548	94060	77269
549	94290	77146
550	94564	77059
551	94756	76903
552	94913	76720
553	95084	76548
554	95288	76402
555	95492	76256
556	95715	76125
557	95888	75955
558	95993	75730
559	96186	75574
560	96389	75427
561	96459	75176
562	96659	75027
563	96872	74887
564	97113	74768
565	97281	74593
566	97460	74427
567	97796	74380
568	97913	74166
569	98037	73958
570	98350	73892
571	98548	73739
572	98675	73532
573	98878	73383
574	98969	73151
575	99094	72944
576	99279	72781
577	99476	72627
578	99670	72472
579	99827	72289
580	100028	72137
581	100199	71964
582	100539	71912
583	100752	71769
584	101218	71804
585	101550	71743
586	101745	71586
587	101959	71441
588	102160	71286
589	102311	71097
590	102393	70861
591	102597	70709
592	102789	70548
593	102982	70388
594	103156	70216
595	103653	70261
596	103851	70104
597	104095	69977
598	104275	69807
599	104496	69664
600	104682	69498
601	104871	69333
602	104958	69101
603	105242	68999
604	105413	68823
605	105455	68563
606	105500	68306
607	105538	68044
608	105567	67778
609	105594	67511
610	105641	67258
611	105676	66997
612	105706	66734
613	105738	66474
614	105766	66211
615	105791	65948
616	105816	65685
617	105845	65425
618	105870	65164
619	105894	64903
620	105920	64643
621	105947	64386
622	105976	64130
623	106003	63873
624	106029	63617
625	106052	63360
626	106079	63106
627	106106	62852
628	106132	62599
629	106158	62346
630	106183	62094
631	106210	61843
632	106238	61594
633	106264	61344
634	106289	61095
635	106315	60847
636	106342	60600
637	106367	60352
638	106392	60105
639	106417	59860
640	106441	59614
641	106468	59370
642	106496	59128
643	106522	58884
644	106547	58642
645	106572	58400
646	106598	58159
647	106625	57919
648	106649	57679
649	106674	57439
650	106698	57200
651	106726	56964
652	106751	56727
653	106778	56491
654	106803	56255
655	106827	56019
656	106854	55785
657	106880	55551
658	106904	55317
659	106929	55084
660	106978	54864
661	107017	54640
662	107043	54409
663	107066	54178
664	107090	53948
665	107120	53720
666	107144	53491
667	107167	53262
668	107192	53035
669	107221	52810
670	107246	52584
671	107272	52359
672	107298	52134
673	107322	51909
674	107345	51685
675	107371	51462
676	107396	51239
677	107421	51017
678	107447	50796
679	107475	50576
680	107500	50356
681	107525	50136
682	107548	49916
683	107573	49697
684	107597	49479
685	107624	49262
686	107648	49045
687	107673	48828
688	107698	48612
689	107724	48398
690	107750	48183
691	107774	47968
692	107797	47754
693	107820	47540
694	107844	47327
695	107872	47116
696	107897	46905
697	107921	46694
698	107947	46483
699	107974	46274
700	107999	46065
701	108023	45856
702	108047	45647
703	108072	45439
704	108097	45232
705	108123	45025
706	108146	44819
707	108170	44612
708	108195	44407
709	108221	44203
710	108245	43998
711	108271	43795
712	108307	43596
713	108333	43394
714	108358	43191
715	108384	42990
716	108408	42788
717	108432	42587
718	108456	42387
719	108483	42188
720	108513	41990
721	108539	41792
722	108564	41593
723	108589	41395
724	108615	41198
725	108640	41002
726	108664	40805
727	108689	40609
728	108713	40413
729	108737	40217
730	108766	40024
731	108791	39830
732	108815	39636
733	108840	39443
734	108864	39250
735	108890	39058
736	108915	38866
737	108938	38674
738	108964	38484
739	108991	38294
740	109018	38105
741	109043	37915
742	109068	37726
743	109093	37537
744	109117	37349
745	109144	37161
746	109168	36974
747	109195	36787
748	109221	36601
749	109246	36415
750	109274	36230
751	109299	36045
752	109324	35860
753	109349	35676
754	109375	35492
755	109404	35310
756	109430	35127
757	109454	34944
758	109477	34761
759	109503	34580
760	109529	34399
761	109557	34218
762	109581	34037
763	109605	33857
764	109631	33677
765	109655	33498
766	109681	33319
