iter	Passed	Remaining
402	11521	17068
403	11551	17041
404	11573	17002
405	11602	16975
406	11630	16945
407	11659	16916
408	11689	16890
409	11714	16856
410	11740	16824
411	11769	16797
412	11795	16765
413	11823	16734
414	11851	16706
415	11883	16682
416	11913	16655
417	11943	16630
418	11969	16597
419	11997	16567
420	12023	16536
421	12049	16504
422	12080	16478
423	12105	16445
424	12133	16416
425	12159	16384
426	12188	16355
427	12218	16329
428	12247	16301
429	12274	16270
430	12300	16239
431	12327	16208
432	12358	16183
433	12393	16163
434	12430	16144
435	12453	16109
436	12481	16080
437	12510	16052
438	12537	16022
439	12565	15991
440	12593	15962
441	12618	15930
442	12647	15901
443	12672	15869
444	12698	15837
445	12728	15810
446	12758	15784
447	12789	15758
448	12815	15727
449	12841	15695
450	12868	15665
451	12893	15632
452	12920	15601
453	12948	15572
454	12976	15542
455	13008	15518
456	13044	15499
457	13079	15478
458	13115	15458
459	13143	15429
460	13174	15403
461	13205	15377
462	13236	15351
463	13269	15328
464	13299	15301
465	13333	15279
466	13368	15257
467	13400	15232
468	13429	15205
469	13463	15181
470	13491	15152
471	13520	15125
472	13550	15097
473	13578	15068
474	13608	15041
475	13636	15011
476	13660	14977
477	13687	14947
478	13713	14915
479	13738	14883
480	13764	14851
481	13787	14816
482	13814	14787
483	13843	14758
484	13867	14725
485	13894	14695
486	13935	14679
487	13968	14655
488	13999	14629
489	14032	14605
490	14065	14581
491	14105	14564
492	14140	14542
493	14174	14518
494	14204	14491
495	14236	14465
496	14269	14441
497	14300	14415
498	14329	14387
499	14358	14358
500	14388	14331
501	14423	14308
502	14457	14285
503	14488	14258
504	14512	14225
505	14546	14201
506	14578	14175
507	14605	14145
508	14632	14115
509	14661	14086
510	14687	14055
511	14716	14026
512	14742	13995
513	14772	13967
514	14799	13937
515	14840	13919
516	14875	13897
517	14911	13875
518	14938	13844
519	14970	13819
520	15003	13793
521	15034	13767
522	15066	13741
523	15100	13716
524	15135	13693
525	15163	13664
526	15195	13638
527	15220	13605
528	15249	13577
529	15277	13547
530	15304	13517
531	15328	13484
532	15357	13456
533	15386	13427
534	15414	13397
535	15444	13369
536	15472	13340
537	15503	13313
538	15531	13284
539	15559	13254
540	15588	13226
541	15615	13195
542	15641	13164
543	15668	13133
544	15696	13104
545	15728	13078
546	15756	13048
547	15786	13020
548	15824	12999
549	15855	12972
550	15884	12943
551	15913	12915
552	15941	12885
553	15970	12856
554	15998	12827
555	16027	12799
556	16057	12770
557	16082	12739
558	16106	12706
559	16130	12673
560	16158	12644
561	16185	12614
562	16214	12585
563	16239	12554
564	16269	12526
565	16295	12495
566	16323	12466
567	16348	12434
568	16379	12407
569	16404	12375
570	16430	12344
571	16454	12312
572	16484	12284
573	16509	12252
574	16535	12221
575	16562	12191
576	16589	12161
577	16616	12131
578	16643	12102
579	16671	12072
580	16704	12046
581	16731	12016
582	16759	11987
583	16789	11959
584	16814	11928
585	16840	11897
586	16863	11864
587	16890	11834
588	16915	11803
589	16940	11772
590	16964	11740
591	16993	11711
592	17020	11681
593	17048	11652
594	17075	11623
595	17103	11593
596	17136	11567
597	17162	11537
598	17187	11506
599	17220	11480
600	17248	11451
601	17276	11421
602	17302	11391
603	17344	11371
604	17375	11344
605	17404	11316
606	17433	11287
607	17458	11256
608	17485	11226
609	17511	11196
610	17541	11167
611	17564	11135
612	17592	11106
613	17617	11075
614	17647	11047
615	17673	11017
616	17702	10988
617	17728	10958
618	17761	10932
619	17789	10903
620	17812	10871
621	17838	10840
622	17867	10812
623	17892	10781
624	17917	10750
625	17944	10720
626	17973	10692
627	18000	10662
628	18028	10633
629	18053	10602
630	18082	10574
631	18107	10543
632	18135	10514
633	18159	10483
634	18188	10454
635	18212	10423
636	18239	10394
637	18265	10363
638	18294	10335
639	18321	10305
640	18348	10276
641	18371	10244
642	18402	10217
643	18433	10189
644	18462	10161
645	18492	10133
646	18518	10103
647	18544	10073
648	18569	10042
649	18596	10013
650	18625	9984
651	18650	9954
652	18677	9924
653	18702	9894
654	18729	9865
655	18756	9835
656	18782	9805
657	18809	9776
658	18835	9746
659	18862	9717
660	18892	9688
661	18921	9661
662	18962	9638
663	18988	9608
664	19018	9580
665	19047	9552
666	19075	9523
667	19108	9496
668	19137	9468
669	19163	9438
670	19191	9410
671	19218	9380
672	19244	9350
673	19273	9322
674	19301	9293
675	19327	9263
676	19354	9234
677	19386	9206
678	19411	9176
679	19437	9147
680	19467	9119
681	19497	9091
682	19527	9063
683	19553	9033
684	19580	9004
685	19610	8976
686	19636	8946
687	19662	8916
688	19689	8887
689	19717	8858
690	19746	8830
691	19774	8801
692	19800	8771
693	19826	8741
694	19851	8711
695	19878	8682
696	19907	8654
697	19933	8624
698	19960	8595
699	19987	8565
