iter	MultiClass	Accuracy
107	1.769671394	0.4105728017
108	1.767431721	0.4103130277
109	1.764845335	0.4112222367
110	1.763358988	0.4126509936
111	1.760495942	0.4129107676
112	1.758991329	0.4134303156
113	1.757005795	0.4148590726
114	1.756075936	0.4147291856
115	1.754934645	0.4135602026
116	1.753074491	0.4149889596
117	1.750987793	0.4157682816
118	1.749219241	0.4174568126
119	1.747150605	0.4171970386
120	1.745260071	0.4169372646
121	1.744083983	0.4182361346
122	1.742326813	0.4190154566
123	1.741123973	0.4187556826
124	1.739964921	0.4203143265
125	1.738723997	0.4209637615
126	1.737028097	0.4236913885
127	1.734908636	0.4247304845
128	1.732906928	0.4260293545
129	1.730492718	0.4275879984
130	1.729502011	0.4278477724
131	1.727777954	0.4290167554
132	1.725865402	0.4312248344
133	1.723832211	0.4313547214
134	1.7217456	0.4339524614
135	1.719524929	0.4346018964
136	1.71807821	0.4340823484
137	1.716565101	0.4347317833
138	1.715418717	0.4352513313
139	1.713213622	0.4374594103
140	1.711874645	0.4379789583
141	1.70975816	0.4383686193
142	1.708369134	0.4391479413
143	1.706923886	0.4396674893
144	1.705613351	0.4405766983
145	1.703900865	0.4414859073
146	1.701961183	0.4420054553
147	1.699947286	0.4436939862
148	1.697922227	0.4446031952
149	1.696869447	0.4451227432
150	1.695547698	0.4456422912
151	1.693451234	0.4464216132
152	1.691693967	0.4472009352
153	1.690722836	0.4466813872
154	1.689046863	0.4474607092
155	1.687940137	0.4477204832
156	1.686243727	0.4495389012
157	1.6840694	0.4521366411
158	1.681964475	0.4546044941
159	1.679820219	0.4534355111
160	1.678014125	0.4548642681
161	1.676765955	0.4546044941
162	1.675362472	0.4542148331
163	1.673351994	0.4549941551
164	1.671803915	0.4557734771
165	1.67034979	0.4572022341
166	1.668229299	0.457851669
167	1.666380737	0.459020652
168	1.664914094	0.459799974
169	1.66411275	0.460059748
170	1.663473761	0.460709183
171	1.661069011	0.460319522
172	1.660198736	0.460968957
173	1.658329021	0.462917262
174	1.65617014	0.46473568
175	1.654584044	0.464475906
176	1.65310188	0.4656448889
177	1.650835882	0.4673334199
178	1.649334192	0.4670736459
179	1.647043981	0.4695414989
180	1.645979947	0.4688920639
181	1.643914618	0.4687621769
182	1.6421411	0.4704507079
183	1.640910243	0.4713599169
184	1.63954298	0.4727886739
185	1.637878228	0.4747369788
186	1.636481135	0.4760358488
187	1.634443933	0.4764255098
188	1.632650184	0.4770749448
189	1.630267496	0.4785037018
190	1.62905506	0.4787634758
191	1.627728334	0.4807117808
192	1.626775621	0.4814911027
193	1.625354225	0.4809715547
194	1.624220328	0.4808416677
195	1.623187754	0.4821405377
196	1.621534767	0.4822704247
197	1.619959986	0.4820106507
